# Copyright (c) 1966-2016 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement.
# Generated: 2016-10-01
# See end of file for additional documentation on specific fields
# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	Mim Number	Gene Symbols	Gene Name	Approved Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
chr1	0	27600000		1p36	607413	AD7CNTP	Alzheimer disease neuronal thread protein						
chr1	0	27600000		1p36	612367	ALPQTL2	Alkaline phosphatase, plasma level of, QTL 2		100196914		linkage with rs1780324	{Alkaline phosphatase, plasma level of, QTL 2}, 612367 (2)	
chr1	0	123400000		1p	606788	ANON1	Anorexia nervosa, susceptibility to, 1		171514			{Anorexia nervosa, susceptibility to, 1}, 606788 (2)	
chr1	0	27600000		1p36	605462	BCC1	Basal cell carcinoma, susceptibility to, 1		100307118		associated with rs7538876	{Basal cell carcinoma, susceptibility to, 1}, 605462 (2)	
chr1	0	27600000		1p36	606928	BMND3	Bone mineral density QTL 3		246259		?another locus at 3p21	[Bone mineral density QTL 3], 606928 (2)	
chr1	0	27600000		1p36	155600	CMM, MLM, DNS	Cutaneous malignant melanoma/dysplastic nevus	CMM	1243		some linkage studies negative; see 9p	{Melanoma, cutaneous malignant, 1}, 155600 (2), Autosomal dominant	
chr1	0	20100000		1pter-p36.13	115665	CTRCT8, CCV	Cataract, congenital, Volkmann type	CCV	7792		linked to Rh in Scottish family	Cataract 8, multiple types, 115665 (2), Autosomal dominant	
chr1	0	27600000		1p36	607872	DEL1p36, C1DELp36	Chromosome 1p36 deletion syndrome				contiguous gene deletion syndrome	Chromosome 1p36 deletion syndrome, 607872 (4), Isolated cases	
chr1	0	46300000		1p36-p34	608995	DYX8	Dyslexia, susceptibility to, 8	DYX8	406874		between D1S552 and D1S1622	{Dyslexia, susceptibility to, 8}, 608995 (2), Autosomal dominant, Multifactorial	
chr1	0	27600000		1pter-p36	131190	ERPL1, HLM2	Endogenous retroviral pol gene-like sequence 1 (oncogene HLM2)						
chr1	0	27600000		1p36	605225	IBD7	Inflammatory bowel disease 7	IBD7	57042		associated with rs6426833	{Inflammatory bowel disease 7}, 605225 (2)	
chr1	0	27600000		1p36	612596	MS4	Multiple sclerosis, susceptibility to, 4		100271696		associated with rs10492972	{Multiple sclerosis, susceptibility to, 4}, 612596 (2)	
chr1	0	27600000		1p36	610320	MYP14	Myopia 14	MYP14	100359407		between D1S552 and D1S1622	Myopia 14, 610320 (2)	
chr1	0	123400000		1p	605606	PSORS7	Psoriasis susceptibility 7	PSORS7	65245			{Psoriasis susceptibility 7}, 605606 (2)	
chr1	0	7100000		1p36.3	604008	PTPRZ2	Protein-tyrosine phosphatase, receptor-type, zeta-2	PTPRZ2	5804				
chr1	0	94300000		1pter-p22.1	154280	SAI1, MTS1, TFS1	Suppression of anchorage independence-1 (malignant transformation suppression-1)	SAI1	6298				
chr1	0	27600000		1p36	607317	SCAR4, SCASI	Spinocerebellar ataxia, autosomal recessive 4	SCASI	260415			Spinocerebellar ataxia, autosomal recessive 4, 607317 (2), Autosomal recessive	
chr1	925740	944580	1p36.33		616765	SAMD11, MRS	Sterile alpha motif domain-containing protein 11	SAMD11	148398	ENSG00000187634			Samd11 (MGI:2446220)
chr1	944202	959298	1p36.33		610770	NOC2L, NIR	Nucleolar complex-associated protein 2, S. cerevisiae, homolog of	NOC2L	26155	ENSG00000188976			Noc2l (MGI:1931051)
